trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.02, 'e': 0.1002588437228037}",30,15,9.652146824044268,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.02, 'e': 0.09827358560436154}",20,7,22.62362311395937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09632763823049303}",25,13,15.028220072163439,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': 0.09442022319630235}",30,0,1.9697952736624544,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.09255057751034329}",30,20,-2.435946226625619,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.02, 'e': 0.09071795328941251}",30,8,34.89168407074492,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.08892161745938634}",25,3,-4.629761063766545,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.0871608514619813}",30,14,-3.951211360182279,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.08543495096732123}",25,10,26.843474423908695,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08374322559219596}",25,0,34.58264039657066,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.02, 'e': 0.0820849986238988}",20,11,8.116219442409829,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.02, 'e': 0.08045960674953244}",20,2,-16.0865395488358,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.02, 'e': 0.07886639979067495}",25,12,26.634345399462138,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07730474044329974}",25,6,22.56701540193245,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.07577400402284548}",35,21,27.850908952986156,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07427357821433388}",20,8,23.2094386293313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07280286282743559}",35,23,16.71784014404892,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.02, 'e': 0.07136126955638605}",35,18,-12.001775730410383,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,11,-25.076174586383917,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.02, 'e': 0.06856315415427791}",20,8,21.793934643318654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06720551273974976}",20,8,18.768940110539912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.02, 'e': 0.06587475442640295}",30,8,37.42220354036861,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06457034689316847}",25,9,28.438080531061072,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.0632917683596407}",20,0,28.600485388488977,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.02, 'e': 0.06203850737735829}",30,8,25.577441372088124,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06081006262521795}",20,14,-0.7398730757017753,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.05960594270893937}",30,3,42.50890401986027,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.02, 'e': 0.05842566596450083}",30,19,17.455822550893963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.02, 'e': 0.05726876026546736}",20,15,11.434178439920155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': 0.056134762834133725}",30,24,10.52285904804043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': 0.05502322005640723}",30,4,19.522972759591905,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.02, 'e': 0.05393368730035602}",30,19,17.987265608178603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.05286572873835037}",25,18,12.539699777079978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.05181891717272583}",20,2,20.38945709849711,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.0507928338648985}",25,9,25.53434800032261,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.049787068367863944}",35,13,29.303177681334482,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,15.584838140309998,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,12,32.0472148886195,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,24.711850798792767,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,20.84811610921771,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,29.603182968181365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,17,26.866324486099803,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,7.898480988793982,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,3,47.1995911683373,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,20,26.03777858180048,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,11,30.316212186768237,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
